embedding,model,accuracy,precision,recall,f1,kappa,miou,bc,sc,scs,impervi,agricult,forest,wetlands,soil,water
emb_ipca_robust_128,KNN,83.39878552258867,75.26071742612541,71.44029067657657,73.30075776556386,74.9346225155308,60.27583989779873,15.61361507233902,42.852312368679705,29.232963720509364,28.92701788301198,62.17484713268478,80.29652368433288,39.76988494227229,66.05123872473897,84.4355270197515
emb_ipca_robust_128,WeightedKNN,82.48026583658405,77.76221959551796,65.10665347916053,70.8739108249198,73.10458923877403,56.65042136990114,15.034604623762323,39.393342251884775,27.213973437823547,27.510600889412025,59.48004292586302,78.83592406191639,28.91698735553097,64.38271236958994,80.77626061709452
emb_ipca_robust_128,HoeffdingTree,67.4586600470205,53.124982959466,53.30051055454699,53.21260200815161,50.63930415153573,39.267041420815744,7.324420730792344,23.966273273874116,15.64534700233323,18.480793555676396,22.19398101829971,64.04580650301219,16.407140144259753,44.17455975766393,70.29996754598253
emb_ipca_robust_128,HoeffdingAdaptiveTree,71.78988752730822,61.30436140690533,65.26907037987598,63.22462183060647,58.38867388240582,47.74821589597702,8.377265238878357,34.453557468954784,21.41541135391657,26.192776905407538,46.45105091602606,65.85971543254675,26.040554962554108,48.25195800699347,73.69323915233416
emb_ipca_robust_128,EFDT,71.17783294149581,57.33929090794523,54.08825569729684,55.66634683464754,55.926509245077995,41.69556505160938,7.897429338788864,26.524705603437987,17.211067471113424,21.36466194661062,28.913406104583157,67.03423835046223,11.414048059096976,48.9533307291012,72.49370511980206
emb_ipca_robust_128,NaiveBayes,51.99837135689612,40.50027423595353,53.82364989759852,46.22099008828848,34.697470213657176,27.71576502731043,5.966100606721138,15.158263860023,10.56218223337207,14.59498143757781,17.3756607898986,52.20114814931871,8.55745721270086,26.9947316990242,46.570610875342425
emb_ipca_robust_128,Majority,47.53405046166778,,16.666666666666664,,0.0,7.92234174361095,0.0,6.1022047294428,3.0511023647214,0.0,0.0,47.5340504616657,0.0,0.0,0.0
emb_ipca_robust_256,KNN,83.4132331630263,75.64358551905164,71.34110754990505,73.42937631530624,74.94692846803804,60.33950686622569,15.72974119643198,42.813899260953285,29.271820228692633,28.67149566184138,62.55383074609829,80.30508529968623,40.48830111881745,66.206247834043,83.81208053686775
emb_ipca_robust_256,WeightedKNN,82.2035716318391,78.35452437484406,64.6646622455765,70.85439336974441,72.67163743074887,56.32766609458738,14.865753752312724,39.017932542006925,26.941843147159823,27.437155119530516,59.08110740120372,78.62904511397429,29.28208027117421,63.9151916795321,79.62141698210945
emb_ipca_robust_256,HoeffdingTree,68.16790785032244,54.13065520426621,54.58563936644553,54.3571952174591,51.965825569902165,40.08741583135887,7.044575676727863,24.808534872692757,15.92655527471031,20.364941669147253,24.57921903051375,64.88845067105714,14.795918367288872,44.747453191508235,71.14851205863798
emb_ipca_robust_256,HoeffdingAdaptiveTree,71.60907311819483,60.996147696022305,65.15113265331043,63.00521261940128,58.251595526229835,47.44369989227171,8.81599999999859,33.30906391022513,21.062531955111854,25.708442886341977,46.453299224189735,65.44160907457302,25.211864406690637,48.68082368081828,73.16616008101663
emb_ipca_robust_256,EFDT,71.20541480051311,60.30662473109785,55.30065522808402,57.69525696654041,56.35599997874318,43.034257873041035,8.050203610282617,27.675667409646,17.86293550996431,19.555843035777233,30.39653767247551,66.48948083555563,16.813700051806883,50.29385453350731,74.65613110912366
emb_ipca_robust_256,NaiveBayes,46.537163271471165,38.48405838590463,51.47157311532226,44.04026722790345,29.903932755291137,24.06496820701052,5.750546785495566,13.295795812078046,9.523171298786806,12.271979595983463,15.100732600727987,46.660669011200895,4.781486856954699,24.25223671898565,41.32270445821042
emb_ipca_robust_256,Majority,47.53405046166778,,16.666666666666664,,0.0,7.92234174361095,0.0,6.1022047294428,3.0511023647214,0.0,0.0,47.5340504616657,0.0,0.0,0.0
emb_ipca_robust_64,KNN,82.9382122577284,74.48496374016612,70.95531113203589,72.67730732062911,74.24423325178053,59.62286265963793,14.831488620814618,42.356184283512334,28.593836452163476,27.964860907737133,60.71996624141892,79.87561156290816,39.42687747016094,65.08770842371969,84.66215135188274
emb_ipca_robust_64,WeightedKNN,82.18124346025365,77.54365328745166,64.65531061920181,70.51540815921923,72.64142747774513,56.19904228909225,14.757446808506453,39.27778545452472,27.017616131515584,25.74058400335829,58.58665209370224,78.55673051712692,29.194260485490094,63.680727480472335,81.4352991544036
emb_ipca_robust_64,HoeffdingTree,67.40130729255597,51.71427634306382,50.31550723250914,51.00530363148508,49.60004039069988,37.517530666206824,6.816489317687985,22.815830158708778,14.81615973819838,18.202005730645983,20.94807589364749,64.65607132609263,9.367245657539184,41.93654502761642,69.99524036169919
emb_ipca_robust_64,HoeffdingAdaptiveTree,71.92122971310488,60.34522499883687,63.96999202030681,62.10476326554225,58.442537363475054,46.93071556833162,8.654505107200885,33.87615450541484,21.26532980630786,26.234664988973744,44.06042058566301,66.45933722043092,22.5553662690884,48.68706039968196,73.58744394615168
emb_ipca_robust_64,EFDT,70.15161266313794,56.694716448757944,52.97608975163804,54.7723590459432,54.345420283446266,41.087745137328305,7.791192964176173,26.076822134814563,16.93400754949537,17.0573125702223,27.20426468098742,65.89154082742922,14.516129032193028,47.98734419510117,73.86987951803668
emb_ipca_robust_64,NaiveBayes,55.87077680146753,44.118376313911185,52.55114271994867,47.96695201168163,38.27418091120385,31.331956940436474,6.6351776878081195,15.993189596546204,11.314183642177165,16.5951927149469,17.82225060913164,55.084333253489994,9.202037351411878,30.25720075887911,59.03072695475933
emb_ipca_robust_64,Majority,47.53405046166778,,16.666666666666664,,0.0,7.92234174361095,0.0,6.1022047294428,3.0511023647214,0.0,0.0,47.5340504616657,0.0,0.0,0.0
emb_kmeans_128,KNN,78.93752927836225,68.15078256563622,66.1292379418239,67.1247933858348,68.29163289269047,53.316784232287105,11.46094191776164,37.19912473641307,24.330033327087357,25.99773670311128,50.080106405474424,75.66254908506419,27.777777777650243,58.75407854984185,81.62845687258063
emb_kmeans_128,WeightedKNN,79.0452298707155,70.4617626205573,61.56923673313345,65.71603584999562,67.91721524693469,51.39400687280613,11.885465996189064,33.98550828799314,22.9354871420911,25.97226263211524,48.15051223947654,75.45576813937173,20.312499999894207,58.83970044553289,79.63329778044613
emb_kmeans_128,HoeffdingTree,63.8178546567372,45.357757220526366,41.44630217116465,43.31390316863933,42.76722510150933,30.961494003463347,6.264284960792176,19.281861642046696,12.773073301419435,9.455562352521667,7.9838845056209555,61.22352272188374,4.986482427140323,39.31048635337171,62.80902566024168
emb_kmeans_128,HoeffdingAdaptiveTree,53.96193703455613,41.72803560908616,48.91863481852836,45.03813600711318,33.072378462112916,27.680619787030015,5.490589834326535,19.924835518782057,12.707712676554294,15.424696645247884,19.38573467789764,53.955346460361774,6.104129263908056,23.70189143204584,47.511920242718894
emb_kmeans_128,EFDT,67.21830384701262,50.245689921881855,46.27133447862196,48.176684661082106,48.550701229437045,35.129094266021376,7.080937407708583,21.326677275711567,14.203807341710077,11.613505259576169,14.529942468614497,64.12521061790017,8.136381247546934,43.03891560996469,69.33061039252583
emb_kmeans_128,NaiveBayes,38.18248683294587,36.923119382988446,47.18768116623841,41.429076259658345,24.03570622803896,18.960350581712547,4.655786452749791,9.805678145129743,7.230732298939767,9.602888086641093,15.301142675762716,42.77906919234031,2.6066136610035207,9.769086571232425,33.70330330329521
emb_kmeans_128,Majority,47.53405046166778,,16.666666666666664,,0.0,7.92234174361095,0.0,6.1022047294428,3.0511023647214,0.0,0.0,47.5340504616657,0.0,0.0,0.0
emb_kmeans_256,KNN,79.3516949709077,68.66079165415186,66.71763559288942,67.67526806529838,68.92786426760551,53.910475482375155,11.7741603132059,37.45045014572714,24.61230522946652,26.60083554878344,51.103276396556105,76.14833375893161,28.426862925352225,59.29900203467938,81.88454222994814
emb_kmeans_256,WeightedKNN,79.3595755020555,70.79921394748145,62.03100598507992,66.12571245225506,68.42875869522302,51.85361900504111,12.064627528364069,34.51159727391891,23.28811240114149,26.26017836368141,49.04289372597662,75.83904149710811,20.852834113256097,59.29854921296472,79.8282171172597
emb_kmeans_256,HoeffdingTree,63.93518700938221,46.67161284316037,43.81635783976953,45.19893802151259,43.27805941112606,32.13167200485857,6.211689237347432,19.576331298167883,12.894010267757658,11.30918770669411,8.960010918517483,61.29948300576361,6.743785380244294,38.8430780720002,65.6344869459317
emb_kmeans_256,HoeffdingAdaptiveTree,55.41852187504105,42.70565677541867,47.903751085316166,45.15560139734944,34.23616712835877,28.566290437311693,5.379687086988133,21.000102691686827,13.18989488933748,15.30290174783122,18.30943547578003,55.420961049387266,6.360091434709749,24.514607592768357,51.48974532339351
